frame_id,person_id,bbox_center_x,bbox_center_y,bbox_width,bbox_height
6,9,573.0,237.0,56.0,182.0
6,10,822.0,236.0,66.0,172.0
7,1,414.5,525.0,81.0,240.0
7,2,138.0,670.0,76.0,244.0
7,3,1764.5,565.0,73.0,220.0
7,4,1152.0,1027.0,72.0,102.0
7,5,1401.0,693.0,88.0,242.0
7,6,21.5,971.0,43.0,206.0
7,8,1102.5,297.0,61.0,176.0
7,10,821.5,235.5,67.0,175.0
8,1,415.0,522.5,80.0,239.0
8,2,138.5,670.0,77.0,244.0
8,3,1763.5,561.5,71.0,211.0
8,4,1154.5,1026.0,73.0,102.0
8,5,1401.0,693.0,88.0,242.0
8,6,22.0,970.5,44.0,209.0
8,8,1100.0,298.0,62.0,172.0
9,1,416.0,520.0,80.0,238.0
9,2,139.0,669.5,76.0,243.0
9,3,1763.0,559.5,70.0,207.0
9,4,1157.0,1027.0,72.0,102.0
9,5,1401.0,692.5,88.0,241.0
9,6,22.5,970.0,45.0,212.0
9,8,1098.0,298.5,64.0,171.0
10,1,417.0,518.0,80.0,240.0
10,2,139.0,669.5,76.0,243.0
10,3,1762.0,561.0,72.0,210.0
10,4,1160.0,1027.0,72.0,102.0
10,5,1400.0,692.5,88.0,241.0
10,6,22.5,970.5,45.0,215.0
10,8,1097.0,297.5,68.0,171.0
11,1,418.0,514.5,80.0,237.0
11,2,138.5,669.5,75.0,243.0
11,3,1761.0,561.0,70.0,206.0
11,4,1163.0,1026.5,72.0,103.0
11,5,1400.0,692.5,88.0,241.0
11,6,22.5,969.5,45.0,217.0
12,1,418.5,512.0,79.0,236.0
12,2,138.5,669.0,75.0,242.0
12,3,1760.0,562.0,70.0,206.0
12,4,1165.5,1026.5,71.0,103.0
12,5,1400.5,692.0,89.0,242.0
12,10,821.5,235.5,67.0,177.0
13,1,418.5,509.0,79.0,234.0
13,2,139.0,669.5,76.0,243.0
13,3,1760.0,562.0,70.0,206.0
13,4,1167.5,1026.0,71.0,104.0
13,5,1400.5,692.5,87.0,241.0
14,1,418.5,507.5,79.0,231.0
14,2,139.0,669.5,76.0,243.0
14,3,1759.5,562.0,71.0,208.0
14,4,1170.5,1026.0,71.0,104.0
14,5,1400.0,692.5,88.0,241.0
15,1,419.0,506.0,78.0,230.0
15,2,139.5,669.5,77.0,243.0
15,3,1759.5,561.5,71.0,209.0
15,4,1171.0,1025.5,70.0,105.0
15,5,1399.5,691.0,87.0,238.0
16,1,418.5,505.5,79.0,231.0
16,2,139.0,670.0,76.0,244.0
16,3,1760.0,561.5,70.0,207.0
16,4,1174.5,1025.5,69.0,105.0
16,5,1399.5,691.5,87.0,241.0
16,10,821.5,235.0,67.0,176.0
17,1,419.5,505.0,79.0,232.0
17,2,139.0,669.5,76.0,245.0
17,3,1760.0,561.5,72.0,211.0
17,4,1177.5,1025.5,69.0,105.0
17,5,1399.5,691.5,87.0,241.0
17,10,821.0,234.5,68.0,175.0
17,12,1644.5,336.0,63.0,176.0
17,6,24.0,959.0,48.0,228.0
18,1,420.0,505.5,80.0,235.0
18,2,139.0,669.5,76.0,245.0
18,3,1760.0,561.0,72.0,212.0
18,4,1179.5,1025.5,67.0,105.0
18,5,1399.5,691.5,87.0,241.0
18,10,822.0,234.5,68.0,177.0
18,12,1643.0,336.0,64.0,182.0
18,6,24.5,958.0,49.0,230.0
19,1,420.5,505.0,81.0,236.0
19,2,139.0,669.5,76.0,245.0
19,3,1760.0,562.0,72.0,210.0
19,4,1181.0,1025.0,66.0,104.0
19,5,1399.5,691.5,87.0,241.0
19,10,821.0,234.5,68.0,177.0
19,12,1640.0,336.5,66.0,185.0
19,6,25.5,957.5,49.0,231.0
20,1,420.5,505.0,81.0,238.0
20,2,139.0,669.5,76.0,245.0
20,3,1760.0,561.5,72.0,209.0
20,4,1182.5,1025.5,65.0,103.0
20,5,1399.5,692.0,87.0,242.0
20,10,821.0,235.0,68.0,176.0
20,12,1640.5,334.5,63.0,179.0
20,6,26.0,957.0,50.0,232.0
20,9,558.5,250.5,59.0,189.0
21,1,420.5,504.0,81.0,238.0
21,2,139.0,670.0,76.0,244.0
21,3,1760.0,561.5,72.0,209.0
21,4,1184.0,1025.5,64.0,103.0
21,5,1400.0,691.5,86.0,241.0
21,10,821.5,235.0,67.0,174.0
21,12,1638.5,335.0,63.0,178.0
21,6,26.0,957.5,50.0,233.0
21,9,557.5,251.0,59.0,190.0
22,1,421.0,503.5,82.0,237.0
