video_name,frame_count,raw_y_std,filtered_y_std,noise_reduction,raw_avg_displacement,filtered_avg_displacement,displacement_reduction,raw_shoulder_p95_velocity,filtered_shoulder_p95_velocity,shoulder_velocity_retention
BLACK_HAWK_DOWN_run_f_nm_np1_ba_med_31.avi,48,,,,,,,,,
BLACK_HAWK_DOWN_run_f_nm_np1_ba_med_32.avi,48,,,,,,,,,
BLACK_HAWK_DOWN_run_f_nm_np1_ri_med_17.avi,21,0.012940261407906108,0.0022426911568921054,82.66888831533272,0.02889598255993276,0.005007714492476551,82.66985909861305,0.023801265792911412,0.00412399266310187,17.32677874775086
Bush_Wave_vs__Obama_Wave_and_Which_Commander-in-chief_Salutes_the_Best__You_Decide_wave_u_cm_np1_fr_med_0.avi,205,0.02887474462906643,0.021172102259238573,26.676053654424635,0.019467024555784362,0.0056861391911637495,70.79091786795846,0.03620905224258742,0.011098977403430415,30.65249355070473
Bush_Wave_vs__Obama_Wave_and_Which_Commander-in-chief_Salutes_the_Best__You_Decide_wave_u_cm_np1_fr_med_1.avi,84,1.0081288726711815,0.482795379059505,52.109755791412894,0.6954828154741817,0.14327744632464973,79.39885168450023,3.9748425666741585,0.7604101377539891,19.130572469194462
Bush_Wave_vs__Obama_Wave_and_Which_Commander-in-chief_Salutes_the_Best__You_Decide_wave_u_cm_np1_fr_med_3.avi,79,0.23723617799304986,0.11752910741195356,50.4590284642856,0.15985473347279525,0.03519341468332175,77.98412726432582,1.303755745933936,0.1740014032954071,13.346165785889783
Bush_Wave_vs__Obama_Wave_and_Which_Commander-in-chief_Salutes_the_Best__You_Decide_wave_u_cm_np1_fr_med_4.avi,79,0.016919734609313713,0.011840978981841034,30.016757028074213,0.011547183340770761,0.005067006995111116,56.11910848232103,0.030525301391411866,0.011315828282504225,37.07032450689536
Bush_Wave_vs__Obama_Wave_and_Which_Commander-in-chief_Salutes_the_Best__You_Decide_wave_u_cm_np1_fr_med_5.avi,96,0.02306493829352738,0.017199298594880272,25.430979367905604,0.013327937294884103,0.004349412292539233,67.36620081331908,0.036207146545215334,0.011354472438777935,31.359754971573135
CharlieAndTheChocolateFactory_sit_f_nm_np1_fr_med_3.avi,54,0.09332005185195515,0.04066660945148118,56.42243157344626,0.03822579687406404,0.010451746088181356,72.65787258113959,0.04349353160504219,0.018228457901807164,41.91073299666
EVOLUTION_wave_u_nm_np1_fr_med_18.avi,101,0.030674146179009307,0.031995637163626606,-4.308158984785737,0.009275936498742074,0.004597169217565836,50.439837334060385,0.024820637804097774,0.011500589772262922,46.33478745805729
Faith_Rewarded_run_f_cm_np1_le_med_16.avi,54,0.0017064342453630551,0.0002955493712978927,82.68029535266315,0.010847888976723511,0.0018793542359251628,82.67539205132239,0.006956574169820391,0.0012049985640896343,17.321723806485995
KUNG_FU_HUSTLE_sit_f_nm_np1_fr_med_43.avi,79,0.5858551817190387,0.3035391971188877,48.188698062167624,0.39041740434948047,0.06975020182224691,82.13445378070023,1.9851832628519932,0.1902960218663366,9.585816353949598
likebeckam_sit_f_cm_np1_ba_med_35.avi,50,0.7405870432225249,0.33318723156496266,55.01038877008146,0.6500138491699443,0.12667365927609786,80.51215994276771,1.1964963611475363,0.17805096185734923,14.881028278814323
likebeckam_sit_f_cm_np1_fr_med_26.avi,50,0.3548772424417441,0.16953319869143352,52.22764989804504,0.1969224225522083,0.04874681298211287,75.24567677447241,0.744467560543629,0.12490232625926144,16.777403459736327
likebeckam_sit_f_cm_np1_le_med_28.avi,73,3.778209943232091,2.058038650954866,45.528737632977986,1.3957209593081048,0.8201247943355545,41.24006028095245,7.985219845709235,3.189726714702294,39.945383800751046
likebeckam_sit_f_nm_np1_le_bad_29.avi,24,0.7480131546308417,0.19861688937653985,73.44740688757527,0.6955746970512621,0.14775072441981132,78.75846763170534,1.4011233344323764,0.35684985453804663,25.46883959238419
LONGESTYARD_sit_f_nm_np1_ba_med_29.avi,47,0.17130355670311928,0.08804120725137007,48.60514927664259,0.14608872191184466,0.02712618615889448,81.43170410152302,0.32448117764442663,0.05431001075278188,16.73749187766322
LONGESTYARD_sit_u_nm_np1_ba_med_8.avi,72,0.28544463127828973,0.09286399438300276,67.46689753205885,0.26099191644964304,0.048697963436678635,81.34119857077081,0.6143731474073006,0.09568796121172712,15.574893143611057
Man_Who_Cheated_Himself_512kb_sit_u_cm_np1_fr_med_3.avi,77,0.09439009423535384,0.09584633992198606,-1.542795034192035,0.01730098706844179,0.007938785420761993,54.11368502064895,0.03614901035073935,0.010018391826269997,27.714152418186718
MUSE_Wave_Goodbye_in_Wembley_wave_u_cm_np3_fr_med_1.avi,131,0.34408465635061825,0.2576306530521965,25.125794394716085,0.12094149327904846,0.039496798011902486,67.3422272695348,0.3731539058391,0.12393945020140841,33.214029991917
NOVA_ELEGANTUNIVERSE3_sit_f_nm_np1_fr_med_2.avi,53,0.048656593781550565,0.04036931300684613,17.032184398092365,0.03535261159345059,0.008972492739951536,74.6200002332677,0.08369832258235105,0.013821479753391675,16.513448928194084
TheBoondockSaints_sit_f_cm_np1_ri_med_42.avi,78,0.06167185199823477,0.05585159790432434,9.437456319743765,0.03556057835391114,0.010833625882485215,69.53473091841973,0.09195630800014444,0.02171070678855171,23.60980694061533
TrumanShow_sit_f_nm_np1_le_med_37.avi,49,0.03183629031440666,0.016922886545997922,46.84403748404089,0.10679888574703944,0.02760143652151155,74.15568867741985,0.034216972304979054,0.005954321426732445,17.401660712879632
