dataset_type,video_name,min_cutoff,beta,d_cutoff,frame_count,noise_reduction,displacement_reduction,shoulder_velocity_retention
normal,20060723sfjffinallseriousness_run_f_cm_np2_ba_med_2.avi,2.0,0.007,1.0,48,14.766349829457114,64.1969890714407,24.133405684603527
normal,20060723sfjffjewcy_walk_f_cm_np1_ba_med_2.avi,2.0,0.007,1.0,49,47.19762976714693,61.937424116682905,28.197633246166088
normal,20060723sfjffjewcy_walk_f_nm_np1_fr_med_1.avi,2.0,0.007,1.0,74,36.83014977297433,67.24266654602586,30.056643750292356
normal,20060723sfjffjewgotmail_walk_f_cm_np2_ba_med_2.avi,2.0,0.007,1.0,48,-1.0646830685348219,67.5732436304693,34.34611882330362
normal,20060723sfjffkillerskiss_walk_f_cm_np1_fr_med_1.avi,2.0,0.007,1.0,84,,,
normal,20060723sfjffschmoozer_walk_f_cm_np1_ri_med_1.avi,2.0,0.007,1.0,218,,,
normal,20060723sfjffschmoozer_walk_f_cm_np2_ri_med_0.avi,2.0,0.007,1.0,37,,,
normal,50_FIRST_DATES_run_f_nm_np1_ba_med_20.avi,2.0,0.007,1.0,79,6.559639305327103,59.58763010439768,41.49309667986087
normal,50_FIRST_DATES_walk_f_cm_np1_ri_med_31.avi,2.0,0.007,1.0,82,50.587993117799066,67.61936591274183,22.079103597715736
normal,50_FIRST_DATES_wave_f_cm_np1_fr_med_0.avi,2.0,0.007,1.0,50,,,
normal,A_Beautiful_Mind_6_walk_u_cm_np1_fr_med_1.avi,2.0,0.007,1.0,109,3.539630705584129,57.166807410970954,36.10573497926784
normal,AboutABoy_walk_f_nm_np1_le_med_5.avi,2.0,0.007,1.0,95,18.877745711439253,53.46838702574039,41.66962275096579
normal,American_History_X_run_u_cm_np1_ba_med_18.avi,2.0,0.007,1.0,88,-7.049010222171215,57.88068093078902,26.398165462187894
normal,American_History_X_sit_f_cm_np1_le_med_27.avi,2.0,0.007,1.0,98,4.530548313866845,52.616756069026614,42.042277320952365
normal,American_History_X_sit_u_cm_np1_fr_med_6.avi,2.0,0.007,1.0,84,34.094491840905214,62.103860543884124,29.530506561133503
normal,BLACK_HAWK_DOWN_run_f_nm_np1_ba_med_31.avi,2.0,0.007,1.0,48,,,
normal,BLACK_HAWK_DOWN_run_f_nm_np1_ba_med_32.avi,2.0,0.007,1.0,48,,,
normal,BLACK_HAWK_DOWN_run_f_nm_np1_ri_med_17.avi,2.0,0.007,1.0,21,70.46797119096546,70.46867653380163,29.52888049917142
normal,Bush_Wave_vs__Obama_Wave_and_Which_Commander-in-chief_Salutes_the_Best__You_Decide_wave_u_cm_np1_fr_med_0.avi,2.0,0.007,1.0,205,16.756969408188247,58.27312306003309,42.456663382261794
normal,Bush_Wave_vs__Obama_Wave_and_Which_Commander-in-chief_Salutes_the_Best__You_Decide_wave_u_cm_np1_fr_med_1.avi,2.0,0.007,1.0,84,41.5728875672205,66.36013710669219,33.077857123631446
normal,Bush_Wave_vs__Obama_Wave_and_Which_Commander-in-chief_Salutes_the_Best__You_Decide_wave_u_cm_np1_fr_med_3.avi,2.0,0.007,1.0,79,42.50061019842207,67.14798936633284,24.047953668928468
normal,Bush_Wave_vs__Obama_Wave_and_Which_Commander-in-chief_Salutes_the_Best__You_Decide_wave_u_cm_np1_fr_med_4.avi,2.0,0.007,1.0,79,14.733882805863285,44.054416231826835,48.967118122864555
normal,Bush_Wave_vs__Obama_Wave_and_Which_Commander-in-chief_Salutes_the_Best__You_Decide_wave_u_cm_np1_fr_med_5.avi,2.0,0.007,1.0,96,12.412000792745893,53.31352478651412,49.05767187098849
normal,CharlieAndTheChocolateFactory_sit_f_nm_np1_fr_med_3.avi,2.0,0.007,1.0,54,44.16793793956805,60.79860164959944,75.32172988344541
normal,EVOLUTION_wave_u_nm_np1_fr_med_18.avi,2.0,0.007,1.0,101,-2.519645194931086,37.09042758672961,53.51264436320725
normal,Faith_Rewarded_run_f_cm_np1_le_med_16.avi,2.0,0.007,1.0,54,70.47625940395281,70.47269672323954,29.52520767402288
normal,KUNG_FU_HUSTLE_sit_f_nm_np1_fr_med_43.avi,2.0,0.007,1.0,79,40.872014088666596,70.77683495250302,19.562182098000775
normal,likebeckam_sit_f_cm_np1_ba_med_35.avi,2.0,0.007,1.0,50,46.67840643425386,68.16461753670711,25.310636581785793
normal,likebeckam_sit_f_cm_np1_fr_med_26.avi,2.0,0.007,1.0,50,40.53143351524585,61.59605296536596,28.606476075519772
normal,likebeckam_sit_f_cm_np1_le_med_28.avi,2.0,0.007,1.0,73,35.25069642086789,28.596751586066237,54.70345116527622
normal,likebeckam_sit_f_nm_np1_le_bad_29.avi,2.0,0.007,1.0,24,59.853670831545315,65.85053004998585,39.056422152569205
normal,LONGESTYARD_sit_f_nm_np1_ba_med_29.avi,2.0,0.007,1.0,47,36.496492858035744,68.85590689333942,31.205239715196733
normal,LONGESTYARD_sit_u_nm_np1_ba_med_8.avi,2.0,0.007,1.0,72,57.08644455266554,68.24169950521781,25.714694288160533
normal,Man_Who_Cheated_Himself_512kb_sit_u_cm_np1_fr_med_3.avi,2.0,0.007,1.0,77,-1.4749664701516618,42.575547570901186,43.1708615161436
normal,MUSE_Wave_Goodbye_in_Wembley_wave_u_cm_np3_fr_med_1.avi,2.0,0.007,1.0,131,18.264649500420095,52.924873335059694,50.994560366170326
normal,NOVA_ELEGANTUNIVERSE3_sit_f_nm_np1_fr_med_2.avi,2.0,0.007,1.0,53,11.182301763116698,63.34971541823751,27.334810734903225
normal,TheBoondockSaints_sit_f_cm_np1_ri_med_42.avi,2.0,0.007,1.0,78,6.563078476401296,58.30726256861223,34.94712382664613
normal,TrumanShow_sit_f_nm_np1_le_med_37.avi,2.0,0.007,1.0,49,34.397191347201726,63.413626373502076,29.775019118734114
fall,video (1).avi,2.0,0.007,1.0,157,4.618996122986885,39.10870516450499,66.47013940444035
fall,video (10).avi,2.0,0.007,1.0,312,5.923975391153435,33.92133482857199,60.715743346865935
fall,video (11).avi,2.0,0.007,1.0,312,12.487409226236379,33.697261160256176,79.96884467578911
fall,video (12).avi,2.0,0.007,1.0,216,11.809816950752838,43.293149885460394,67.66389853162255
fall,video (13).avi,2.0,0.007,1.0,240,6.639526908736149,37.73749385894052,55.715769090847544
fall,video (14).avi,2.0,0.007,1.0,288,21.753858532254455,41.884158184492605,57.610706019408845
fall,video (15).avi,2.0,0.007,1.0,593,0.909219838723907,41.45160727102392,61.62204143065105
fall,video (16).avi,2.0,0.007,1.0,870,10.47362003379595,38.23681495072706,53.70984329372547
fall,video (17).avi,2.0,0.007,1.0,506,2.659365274062686,36.83434360736607,55.80144657714231
fall,video (18).avi,2.0,0.007,1.0,1052,1.3964294535563249,38.201596601029976,60.064166540921214
fall,video (19).avi,2.0,0.007,1.0,818,2.064431646914233,41.561187244252274,63.54415265102583
fall,video (2).avi,2.0,0.007,1.0,306,0.16786754648716595,41.60180345553265,42.12001464291641
fall,video (20).avi,2.0,0.007,1.0,298,3.6248594432934156,40.164662168392084,54.401935969231616
fall,video (21).avi,2.0,0.007,1.0,1130,9.38829078786857,39.636453110838666,61.88704217969363
fall,video (22).avi,2.0,0.007,1.0,987,6.8958372328093205,35.63119776981537,68.25646872439015
fall,video (23).avi,2.0,0.007,1.0,1146,-0.22642410061739504,36.82778897022594,61.22179215989306
fall,video (24).avi,2.0,0.007,1.0,829,4.0657038564458015,31.31994466098773,65.6005529193701
fall,video (25).avi,2.0,0.007,1.0,988,1.8231189609483778,38.92151708524975,69.05396820516818
